"Interval start","Graph 1","Graph 2"
"0.000","2842856","2769893"
"1.000","2959678","2898210"
"2.000","2993496","3063474"
"3.000","2639256","2995286"
"4.000","3038686","2930714"
"5.000","3051726","2980906"
"6.000","2994022","3066800"
"7.000","3005772","3050332"
"8.000","2994582","2692484"
"9.000","2968676","3007448"
"10.000","3098318","2978584"
"11.000","2718524","2919488"
"12.000","2986492","2698814"
"13.000","2881132","3012686"
"14.000","3027086","3006948"
"15.000","2935228","2855546"
"16.000","1270388","2987642"
"17.000","0","2943148"
"18.000","0","2960718"
"19.000","0","2958432"
"20.000","0","2908122"
"21.000","0","2926846"
"22.000","0","2834730"
"23.000","0","2902700"
"24.000","0","2891552"
"25.000","0","2908366"
"26.000","0","2935362"
"27.000","0","2942060"
"28.000","0","2891108"
"29.000","0","2944998"
"30.000","0","2955472"
"31.000","0","2885080"
"32.000","0","2924768"
"33.000","0","2868982"
"34.000","0","2917602"
"35.000","0","2832104"
"36.000","516","2944234"
"37.000","1515740","2469688"
"38.000","2973812","3020810"
"39.000","2931042","3010458"
"40.000","3036252","2712092"
"41.000","3045990","2990760"
"42.000","2976222","3021350"
"43.000","3029202","2930396"
"44.000","3035462","3003142"
"45.000","2992836","3020566"
"46.000","3058290","2992700"
"47.000","3026482","2921744"
"48.000","3034344","2926550"
"49.000","2738436","2818512"
"50.000","3001032","2979966"
"51.000","2970746","2937992"
"52.000","3036564","2969114"
"53.000","3041954","2977266"
"54.000","2877868","2867268"
"55.000","2793786","2946552"
"56.000","2951194","2962472"
"57.000","2950958","2981590"
"58.000","2973614","2942650"
"59.000","2960386","2953132"
"60.000","36524","26926"
"61.000","86","0"
"62.000","86","0"
"63.000","0","0"
"64.000","0","0"
"65.000","0","0"
"66.000","86","0"
"67.000","0","0"
"68.000","0","0"
"69.000","0","0"
"70.000","0","0"
"71.000","0","0"
"72.000","86","0"
"73.000","0","0"
"74.000","0","0"
"75.000","0","0"
"76.000","0","0"
"77.000","0","0"
"78.000","0","0"
"79.000","0","0"
"80.000","0","0"
"81.000","0","0"
"82.000","0","0"
"83.000","0","0"
"84.000","0","0"
"85.000","0","0"
"86.000","86","0"

